sum.taxonomy,K0512_L7,K0514_B2,K0514_E4,K0514_L7,K0515_G5,K0515_K6,K0515_L7,K0572_B2,K0611_K6,K0613_A1,K0613_B2,K0613_K6,K0613_M8,K0614_G5,K0614_T9,K0615_L7,K0616_B2,K0616_C3,K0616_G5,K0616_K6,K0617_B2,K0617_C3,K0617_E4,K0617_L7,K0618_G5,K0619_E4,K0619_M8,K0619_T9,K0712_A1,K0712_B2,K0712_K6,K0713_C3,K0714_T9,K0715_A1,K0716_B2,K0717_C3,K0717_K6,K0718_A1,K0718_B2,K0719_G5,K0719_K6,K0720_L7,K0757_A1,K0759_E4,K0773_A1,K0774_M8,K0777_G5,K0778_A1,K0779_E4,K0779_K6,K0779_T9,K0792_C3,K0832_K6,K0835_A1,K0836_G5,K0838_B2,K0713_G5
Abditibacteriota;Abditibacteria;Abditibacteriales;Abitibacteriaceae;Abditibacterium;Abditibacterium utsteinense,61,5,0,0,25,0,0,41,0,0,0,0,0,0,3,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,8,0,0,14,0,5,3,3,28,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0
Proteobacteria;Betaproteobacteria;Neisseriales;NA;;,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,8,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Stenoxybacter;Stenoxybacter acetivorans,0,150,0,0,0,27,24,0,11,8,0,43,59,13,0,52,0,15,102,0,59,8,65,122,0,0,0,104,0,0,29,0,0,0,22,0,33,125,209,0,0,6,35,0,219,7,0,55,0,0,52,12,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;NA;,0,0,0,0,0,7,207,0,317,233,298,0,23,26,0,0,77,0,6,114,0,294,148,101,103,64,33,371,0,0,24,0,91,88,7,37,0,10,71,0,90,103,447,0,44,14,293,5,181,0,11,415,4,0,557,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus;,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,46,0,0,0,0,0,0,0,0,0,18,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;NA;,0,0,0,0,3,1,1,13,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,5,6,0,0,0,0,0,0,19,47,0,0,0,0,0,9,0,10,0,129,0,6,0,6,0,0,0,0,0,0,0,6,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;NA;Methylophilaceae bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,35,0,2,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Novimethylophilus;Novimethylophilus kurashikiensis,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;NA;;,0,0,3,0,0,0,52,15,92,150,62,9,226,208,0,0,141,4,118,93,143,84,110,157,106,17,189,82,1,0,0,79,168,78,0,7,0,28,24,0,155,86,129,209,187,91,42,0,0,0,11,61,100,31,85,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;NA;NA;Methylophilales bacterium TP693,0,0,0,0,0,0,0,0,0,0,0,50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,8,0,0,7,0,0,6,8,0,5,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;NA;,0,0,0,0,1,0,1,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,10,3,0,0,0,0,11,0,0,0,4,14,0,0,15,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;NA;Nitrosomonadaceae bacterium enrichment culture clone b185,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,14,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;,0,0,0,0,18,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,19,0,5,0,0,0,0,3,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;Nitrosomonas sp.,0,85,0,0,0,0,185,0,71,44,49,220,211,152,0,0,89,19,225,230,603,83,255,310,45,87,118,180,1,0,27,0,185,159,0,16,9,402,399,0,40,0,125,0,376,87,216,93,103,129,450,103,224,120,124,102,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira;,38,0,0,0,37,0,9,81,22,18,0,18,20,0,0,58,21,12,1,10,57,18,25,38,54,6,0,29,0,0,0,129,10,0,0,0,0,0,33,0,33,1,23,472,9,31,21,0,15,0,0,62,7,15,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Denitratisoma;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Denitratisoma;Denitratisoma sp. enrichment culture,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,1,26,0,0,5,37,0,0,37,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Denitratisoma;Denitratisoma sp. enrichment culture clone ANA-RAS-29,0,0,0,0,0,0,0,0,14,41,0,0,46,0,0,0,0,0,18,0,4,0,46,33,0,0,16,30,0,0,0,0,40,0,0,0,0,0,0,0,5,0,14,0,34,14,0,0,11,0,0,12,0,0,56,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;NA;,0,0,0,0,0,0,4,0,0,1,0,0,0,50,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sterolibacterium;,0,0,0,0,0,0,0,0,12,17,15,0,27,13,0,0,0,0,18,12,71,16,45,50,0,0,16,27,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,114,17,0,0,0,0,0,10,0,0,18,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sterolibacterium;Sterolibacterium sp. TKU1,0,0,0,0,0,0,0,0,5,8,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,5,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sulfuritalea;Sulfuritalea hydrogenivorans,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,4,0,0,10,0,0,3,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;NA;Thiobacillaceae bacterium LSR1,0,0,0,0,0,0,36,0,153,92,128,0,10,42,0,0,193,0,0,24,0,288,41,37,19,102,35,130,0,0,3,0,153,12,0,0,0,0,12,0,16,0,76,0,1,36,325,47,16,0,90,312,0,0,61,27,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Sulfuritortus;Sulfuritortus calidifontis,0,17,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,7,0,0,4,0,4,0,0,0,0,0,7,0,0,24,0,17,0,0,0,25,0,0,0,2,0,8,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Thiobacillus;,0,0,0,0,0,0,306,0,106,77,170,39,58,133,0,0,100,0,9,74,6,72,54,42,18,134,41,205,0,0,0,0,162,228,0,120,0,70,193,0,140,0,104,0,17,295,44,0,1,14,104,286,0,0,174,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Azonexus;,0,29,0,0,37,0,40,0,0,0,0,749,0,0,0,0,0,0,0,6,21,0,0,0,0,0,9,0,172,0,0,0,0,152,38,28,0,0,42,0,0,0,0,0,0,0,0,0,0,0,34,0,60,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Azonexus;Azonexus fungiphilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Azonexus;Azonexus sp. RV3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;,0,11,0,0,0,0,12,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;Dechloromonas sp. CL24+,0,23,0,0,0,0,0,0,8,0,0,0,37,51,0,0,0,11,18,70,132,0,15,74,0,0,27,19,0,0,0,0,29,0,28,0,0,0,0,0,21,0,0,0,68,35,0,0,0,0,0,18,13,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;NA;,0,28,0,0,1,0,1,0,0,0,0,7,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,3,1,2,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;NA;;,6,676,522,103,667,189,90,0,74,58,48,224,195,161,130,187,34,167,74,173,88,38,89,128,9,23,63,54,624,68,503,0,191,141,167,263,88,59,205,36,19,1,52,17,221,83,12,120,37,469,120,55,72,136,114,142,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,35,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;Azospira sp. ANPS-21-24,0,29,0,0,0,0,30,0,0,0,16,0,60,14,0,0,0,41,38,53,22,0,47,0,0,8,55,15,0,0,59,0,9,123,0,0,0,24,0,0,0,1,0,0,0,6,0,0,0,23,44,25,29,0,12,8,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;Azospira sp. enrichment culture clone yan05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Denitromonas;Denitromonas sp. D2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;NA;,1,126,0,0,11,0,1,0,0,0,0,0,26,1,0,0,0,0,13,0,6,0,0,9,0,0,0,0,2,0,0,0,0,0,22,0,0,0,25,0,0,0,0,0,3,0,0,0,8,1,0,0,1,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus;,0,109,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,33,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,67,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus;Azoarcus sp. enrichment culture clone SJC13,0,0,9,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,0,0,15,0,16,0,0,0,0,0,122,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;NA;,0,0,0,0,190,0,0,4,10,6,0,0,9,64,0,0,24,1,38,32,0,0,38,0,13,7,12,0,32,0,70,0,83,10,1,0,0,10,0,0,41,124,0,0,53,45,0,0,0,0,22,0,43,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;,0,0,0,9,0,0,1,0,0,0,0,33,0,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,20,0,144,0,1,18,0,1,0,14,0,0,1,55,0,0,0,1,0,69,0,0,0,2,0,0,0,69,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;Thauera sp.,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Uliginosibacterium;,0,0,0,0,0,0,1,0,12,8,0,0,0,8,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,4,0,0,0,12,4,0,0,0,0,0,0,6,0,0,0,0
Proteobacteria;Deltaproteobacteria;Bradymonadales;Bradymonadaceae;Bradymonas;Bradymonas sediminis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum;Desulfatibacillum aliphaticivorans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum;Desulfatibacillum sp. enrichment culture clone H12_2_72,0,0,0,0,0,0,18,0,14,0,27,0,0,0,2,0,16,0,0,0,0,15,0,0,4,13,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,77,0,0,0,35,0,18,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatiglans;,0,0,0,0,0,0,14,0,25,13,16,0,0,0,0,0,10,0,0,3,0,36,2,0,11,3,3,18,0,0,0,0,3,8,0,9,0,7,5,0,1,0,39,0,0,1,2,0,4,0,11,7,0,0,12,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatiglans;Desulfatiglans anilini,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,10,11,0,8,6,0,0,6,0,2,0,1,8,13,10,2,0,0,0,0,2,4,0,0,11,0,5,0,0,0,4,0,1,1,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatirhabdium;Desulfatirhabdium butyrativorans,0,0,0,0,0,2,36,0,15,36,17,0,21,18,0,0,32,0,0,22,0,19,25,19,0,15,127,16,0,0,0,0,87,23,0,1,0,0,33,0,21,0,8,0,0,56,23,0,30,19,27,35,0,101,13,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacter;,0,0,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,95,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium;,0,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,8,0,0,0,0,37,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,1,2,0,0,12,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium;Desulfobacterium autotrophicum,0,0,0,0,0,0,0,0,14,44,16,0,0,0,0,0,15,0,0,0,0,13,0,0,30,11,7,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,21,43,0,24,0,9,17,0,0,21,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium;Desulfobacterium sp. LSv25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfococcus;,0,0,0,0,0,0,5,0,44,25,117,0,15,3,0,0,25,0,2,30,3,45,0,13,32,18,27,6,0,0,0,0,14,4,0,21,0,4,2,0,0,0,0,0,1,8,14,0,0,0,4,10,0,0,62,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfococcus;Desulfococcus oleovorans,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,4,0,0,4,4,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfonatronobacter;,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfonatronobacter;Desulfonatronobacter acetoxydans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfonatronobacter;Desulfonatronobacter sp.,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfonema;,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfosalsimonas;,0,0,0,0,0,0,205,0,0,0,0,0,4,6,0,0,0,0,0,34,0,0,0,6,0,0,38,5,0,0,0,0,35,15,13,12,0,5,0,0,0,0,0,0,0,30,0,0,0,0,6,10,0,0,9,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfotignum;,0,0,0,9,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,35,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;NA;,0,12,0,0,0,13,676,0,514,419,726,51,103,406,0,0,285,0,195,366,63,729,494,112,212,1672,679,422,14,146,190,0,681,478,113,130,0,28,71,0,275,256,457,0,104,371,197,18,1177,16,536,339,0,40,360,69,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;NA;Desulfobacteraceae bacterium,0,0,0,0,0,0,43,0,12,35,23,0,0,7,0,0,10,0,0,0,0,11,0,0,1,13,44,11,0,0,10,0,14,0,0,0,0,0,0,0,0,0,13,0,0,6,17,0,3,0,7,0,0,0,9,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;NA;Desulfobacteraceae bacterium enrichment culture clone MS_ANT_U13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;NA;Desulfobacteraceae bacterium enrichment culture clone MS_LAC_O4,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;NA;Desulfobacteraceae bacterium MCL-2018,0,0,0,0,0,0,45,0,0,72,0,0,6,0,0,3,1,9,0,3,7,0,0,0,2,2,1,0,0,32,0,0,6,3,0,17,0,0,11,0,0,1,0,0,0,19,0,0,1,0,9,3,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Candidatus Electronema;Candidatus Electronema palustris,0,12,0,0,0,0,4,0,0,0,0,25,0,11,0,0,0,0,0,215,0,0,250,0,0,0,32,0,0,0,4,0,132,14,20,80,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,69,0,10,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Candidatus Electrothrix;Candidatus Electrothrix aarhusiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,51,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;,0,0,0,0,0,0,48,0,3,1,8,2,1,0,0,0,1,0,0,11,0,2,47,0,1,14,0,0,1,0,2,0,5,23,0,10,5,0,0,0,2,13,1,0,10,2,0,0,0,14,0,0,10,0,2,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus;Desulfobulbus japonicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa;Desulfocapsa sulfexigens,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfopila;Desulfopila sp. PR2_D09,0,0,0,0,0,0,0,0,13,6,18,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfopila;Desulfopila sp. PR7_B11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,4,10,0,0,0,0,0,4,16,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,4,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea;,0,71,0,0,0,0,28,0,0,0,0,0,17,33,0,0,4,0,7,104,78,0,62,24,0,0,20,13,0,0,0,0,25,0,22,0,0,35,0,0,12,0,0,0,38,42,0,0,0,15,32,56,24,0,15,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfotalea;Desulfotalea sp. PR6_F07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,55,0,7,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio;Desulfurivibrio sp. AMeS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;NA;,0,187,17,8,0,35,490,0,33,5,116,191,216,130,0,0,61,164,46,240,285,29,487,83,71,85,228,83,87,17,274,0,328,196,132,67,0,39,106,0,46,106,49,0,209,323,1,57,1,61,82,142,88,106,161,310,0
